Num Qubits,Time,Shots,Num Ancilla,Exact Eigenvalue,Expected Phase,Most Probable Bitstring,Estimated Phase,Estimated Eigenvalue,Eigenvalue Error,Alpha,QDRIFT Implementation,type of Hamiltonian,Num Random Circuits,Num Shots per Circuit,Circuit Depth,Raw results
2,0.03944206059437656,1024,12,(3.1240998703626572+0j),0.0196112211188372,000001010100,0.0205078125,3.266928356191543,0.14282848582888574,4.4,exponential invocations of qdrift channel,Ising,1,1024,4098,"{'000000100101': 5, '000000111011': 13, '000010010100': 3, '000001110110': 3, '000001001100': 27, '000001011011': 42, '000001010111': 13, '111111001001': 1, '000010110010': 1, '111110110110': 1, '111111101100': 2, '000001000101': 34, '000000000011': 2, '000001010110': 49, '111110100110': 8, '111110011010': 1, '111110011101': 1, '000001010100': 88, '000001110001': 1, '000001001101': 24, '000001100110': 2, '000001011000': 12, '000001101010': 16, '000001000001': 2, '000001111101': 4, '000001011010': 26, '000110010100': 2, '000001101011': 11, '000001101100': 20, '000001000110': 25, '000100011011': 1, '010110111110': 1, '000001011100': 20, '000001010010': 20, '111110111011': 2, '000001010011': 65, '000100010101': 1, '000001110100': 8, '000001001010': 27, '000000100111': 3, '000001110111': 2, '000100010110': 1, '000001001011': 14, '000010010101': 3, '000000111100': 5, '000001100000': 3, '000010101101': 3, '000001010101': 61, '000001011001': 18, '000100010100': 2, '000001110101': 1, '000010010111': 2, '000000111010': 2, '000000100110': 1, '111110100011': 1, '000001001000': 9, '111110101101': 11, '111111000011': 2, '000000011010': 2, '000100011000': 1, '000100000011': 2, '000001000100': 8, '000001000011': 6, '111101010100': 1, '111110101000': 2, '000010011101': 2, '000001100111': 3, '000000011011': 3, '000000111101': 6, '000001001110': 3, '000001110000': 2, '111110101100': 13, '000001011101': 9, '000001101101': 17, '111110110100': 4, '000001011110': 8, '000010101011': 3, '000001101110': 7, '111110101010': 6, '000010101110': 1, '000000110110': 3, '000001001001': 4, '001010101100': 1, '000111101100': 1, '000000111111': 1, '000001110010': 1, '001110101010': 2, '000001010000': 1, '111110111010': 1, '000000110100': 1, '000000101100': 3, '111110101011': 9, '000101000101': 1, '000010101010': 4, '000010010110': 1, '000001100011': 2, '000010010011': 3, '000000010010': 2, '111110111100': 1, '111111100110': 2, '111111000101': 1, '111110100101': 2, '000000010101': 4, '000001101000': 1, '000001000010': 4, '000001100101': 1, '000100100110': 1, '000001011111': 3, '000110101101': 1, '001110111100': 1, '000010101100': 2, '000011110011': 1, '000011000101': 2, '000010100111': 1, '111011101100': 1, '000101001101': 1, '011110110011': 1, '000001101111': 2, '000000110101': 3, '001110101001': 1, '000011110100': 1, '000000010100': 6, '111111101101': 1, '000110101011': 2, '001110110110': 1, '000000101101': 1, '111011111100': 1, '000000111001': 2, '110010101111': 1, '111110100001': 2, '000010100101': 1, '000011011111': 1, '111101111011': 1, '001001011000': 1, '000001100100': 2, '000110010010': 1, '000001110011': 7, '000000000110': 2, '000001111110': 1, '000000010110': 3, '000111011010': 1, '000110110011': 1, '111110111000': 1, '111100010111': 1, '000011001010': 1, '111110110010': 2, '111110011100': 1, '111110011001': 2, '111110010100': 3, '111110111001': 1, '000100100010': 1, '111111010101': 1, '111110101110': 2, '000000011111': 1, '111111010110': 1, '000001000111': 5, '000010001100': 2, '111000000101': 1, '111110011110': 1, '111101111101': 1, '101110101011': 1, '000010011011': 3, '001101110101': 1, '111111011011': 1, '001000001100': 1, '000000011110': 1, '000001101001': 1, '011101000101': 1, '000000101110': 1, '000010000010': 1, '000000111110': 1, '001111001011': 1, '000000110000': 1, '111111101011': 2, '111110100111': 1, '111100010100': 1, '001000010101': 1, '000010100110': 1, '111111000110': 1, '000010000001': 1, '111110100100': 1, '000010100010': 1, '111011111010': 1, '000110110001': 2, '001010101011': 1, '000001010001': 1, '111110010010': 1, '000110111100': 1, '000000011100': 2, '111110011000': 1, '111111110101': 1, '000000110111': 1, '000010101001': 1, '000010000100': 1, '000010010010': 1, '000000010011': 1}"
2,0.015556761439304723,1024,12,(3.1240998703626572+0j),0.00773506971698894,000000100000,0.0078125,3.155373012812259,0.031273142449601554,4.4,exponential invocations of qdrift channel,Ising,1,1024,4098,"{'000000100000': 213, '000000011010': 58, '101100000110': 1, '000001100000': 2, '000000011110': 144, '000000011100': 36, '000000100010': 106, '000000111110': 4, '000000011111': 119, '000011000000': 2, '000000100111': 4, '000001001010': 3, '000000100110': 9, '000000111010': 4, '000000011001': 6, '000001011110': 3, '000000111111': 9, '000000100001': 60, '111101101010': 1, '100010000001': 1, '000011111110': 1, '000100011011': 1, '000001000110': 3, '111111010010': 1, '000000000000': 9, '111111111111': 9, '000000110000': 3, '000001000001': 3, '111101111110': 1, '111101100010': 1, '000000000101': 2, '000000101110': 3, '000000110010': 2, '111111100000': 3, '111110111110': 1, '000000011000': 5, '111110111010': 1, '111111100100': 2, '000010111110': 1, '000000011101': 13, '000000010010': 10, '111111111100': 1, '000010111100': 1, '000001010110': 1, '111111100010': 4, '000001000010': 4, '000000000100': 8, '111111111010': 4, '111110111100': 1, '111111100110': 1, '000000101000': 6, '000000111101': 2, '000000100011': 6, '000000001000': 1, '000001100010': 2, '000000000110': 8, '000001111110': 2, '000001000000': 16, '111110011100': 1, '111110000000': 2, '111110011010': 2, '000000101010': 11, '000000111000': 3, '000110000010': 1, '111111000000': 3, '000000011011': 8, '110000111110': 1, '000010000001': 2, '000000010001': 1, '000000010110': 2, '000000111100': 1, '000000100100': 5, '000000001001': 1, '000000010101': 2, '000001100100': 1, '111111111110': 4, '000010000010': 1, '000000100101': 1, '000001001001': 1, '000001000111': 1, '000000110100': 2, '000000101100': 1, '000001011111': 3, '000000001110': 2, '000001000100': 1, '000001111010': 1, '000000000010': 2, '000000001010': 5, '111111000010': 1, '000110000000': 1, '000001100110': 1, '000000001100': 1, '111101111111': 1, '000010000110': 1, '111111011111': 1, '000000001101': 1, '000001010101': 1, '000001100001': 1, '111111100001': 3, '010100111111': 1, '000010000000': 2, '111100011010': 1, '000010101110': 1, '111011111110': 1, '111110111000': 1, '000001011010': 1, '001100111111': 1, '111010000001': 1, '000001011011': 1}"
2,0.0025353644939701114,1024,10,(3.1240998703626572+0j),0.001260623632711159,0000000001,0.0009765625,2.420134527455798,0.7039653429068591,4.4,exponential invocations of qdrift channel,Ising,1,1024,1026,"{'1111111000': 1, '1111011111': 1, '0000000001': 774, '0000000010': 139, '0000001011': 1, '0001000011': 1, '0000000101': 6, '1111111001': 1, '0000000000': 30, '1101111111': 1, '1111111110': 5, '0000010111': 1, '0001101011': 1, '0001001001': 1, '0000000111': 4, '1111111111': 16, '0000000011': 19, '0000010101': 1, '0000000100': 3, '0000001110': 1, '1111111100': 3, '1111111101': 3, '0000000110': 3, '0000010001': 2, '0000001101': 1, '0000010100': 1, '0000010000': 1, '1111110100': 1, '1111110001': 1, '0000001100': 1}"
2,0.001,1024,12,(3.1240998703626572+0j),0.0004972159370809664,000000000010,0.00048828125,3.067961575771282,0.05613829459137509,4.4,exponential invocations of qdrift channel,Ising,1,1024,4098,"{'000000000010': 1003, '111111111100': 1, '000000000011': 7, '000000000110': 4, '000000000101': 2, '000000101110': 1, '111111111110': 2, '000000000001': 4}"
2,0.006428073117284319,1024,10,(3.1240998703626572+0j),0.003196140398635491,0000000011,0.0029296875,2.8636527803536347,0.26044709000902255,4.4,exponential invocations of qdrift channel,Ising,1,1024,1026,"{'1111011101': 1, '0000000011': 658, '0000000001': 58, '0000000100': 108, '0000000101': 62, '1111001001': 1, '1111111111': 8, '0000000111': 22, '0000000010': 32, '0000010001': 2, '0000111101': 1, '0000001100': 3, '0000010111': 1, '0000000000': 2, '1111111001': 2, '1111111101': 10, '0000000110': 8, '1111110101': 2, '0000010100': 1, '1111101001': 3, '0000001101': 7, '0000010101': 1, '0001011101': 1, '1111100001': 1, '1111111110': 3, '1111111100': 1, '1111110100': 1, '0001001001': 1, '1111111011': 3, '1111010001': 1, '0000001111': 4, '0000001001': 6, '1111110111': 2, '1111100110': 1, '1111101110': 1, '1110111101': 1, '0000100001': 1, '0111111101': 1, '1111110001': 1, '0000001000': 1}"
2,0.04132012400115339,1024,10,(3.1240998703626572+0j),0.02054502417553521,0000010010,0.017578125,2.6729497889377876,0.4511500814248697,4.4,exponential invocations of qdrift channel,Ising,1,1024,1026,"{'1111101100': 4, '0000010010': 215, '0101011110': 1, '0000010110': 208, '0001100010': 1, '0101101010': 1, '0000011100': 46, '0000010011': 46, '0000011110': 36, '0000010100': 156, '0000011111': 2, '0001101110': 2, '0000010000': 8, '1011100100': 2, '1111101010': 4, '0000011000': 20, '1111111010': 5, '0000101000': 2, '0011100011': 1, '0000000110': 5, '0000011010': 42, '0001000100': 3, '0000000010': 2, '0000100001': 1, '0000001010': 18, '0000010001': 8, '0111110110': 1, '0000011101': 19, '0001010010': 5, '1111101101': 3, '1111111110': 8, '0010110000': 2, '0000101110': 9, '0000110010': 2, '1111101110': 6, '0000100010': 30, '0000111110': 3, '0000110110': 1, '0000101010': 12, '0000111100': 2, '0000100100': 3, '1110111010': 1, '0000000000': 1, '0001000110': 1, '1111111100': 3, '1111010010': 2, '0011000010': 3, '0000001110': 2, '0000010111': 5, '0000011001': 1, '0000010101': 3, '0000000100': 2, '1011010010': 1, '0000101101': 1, '0001000010': 3, '1111110100': 1, '0000110100': 1, '0000101100': 11, '0000001100': 1, '0000111101': 2, '0001010011': 1, '1111110010': 4, '0000011011': 2, '1111001010': 2, '0000110000': 1, '1110101110': 1, '0000100110': 2, '0000111010': 1, '0000001011': 1, '0001000000': 1, '1111100011': 1, '1111000010': 1, '0011101010': 1, '1110100010': 1, '1011101110': 1, '0010001010': 1, '1111111101': 1, '1100100010': 1, '1011100010': 1, '0000100000': 1, '0010111110': 1, '1100001110': 1, '0101101100': 1, '0001011100': 1, '0010100110': 1, '0001100110': 1, '1111100010': 1, '0001001000': 1}"
2,0.016297508346206444,1024,10,(3.1240998703626572+0j),0.008103380884443907,0000001000,0.0078125,3.011956439572344,0.1121434307903133,4.4,exponential invocations of qdrift channel,Ising,1,1024,1026,"{'0000001000': 417, '0000001001': 272, '0000001010': 61, '0000100110': 1, '0000001111': 3, '0000011101': 2, '1110001111': 1, '1111111101': 7, '0000000111': 59, '0000001100': 5, '1111110101': 1, '0000000000': 2, '1111111001': 2, '0000110010': 1, '0000000101': 15, '0000000110': 35, '1111111000': 8, '0000101010': 1, '0000110110': 1, '1111011111': 1, '1110110100': 1, '0000001110': 8, '1111110011': 3, '0000000011': 11, '0000010100': 2, '1011101000': 1, '0001011000': 1, '1111110111': 2, '1111000010': 1, '0000001101': 11, '0000011000': 4, '1111101010': 1, '0000010001': 7, '1110110001': 1, '1111011100': 1, '0011100001': 1, '0000000100': 4, '0001000100': 1, '0000000010': 6, '1111011110': 1, '0000010111': 8, '1111111111': 4, '1111011001': 1, '1111101111': 1, '1000000010': 1, '0000010010': 3, '0000011001': 3, '0000001011': 17, '0001001001': 1, '0000111000': 1, '0001111000': 1, '1111101001': 2, '0000010000': 2, '0001010000': 1, '1111110010': 2, '1110000000': 1, '0000010101': 1, '0111111000': 1, '0001010111': 1, '1101010111': 1, '1111111100': 1, '1111010111': 1, '0000011110': 1, '1111111110': 2, '0010000111': 1, '0001101101': 1, '0000010011': 1}"
2,0.001047615752789665,1024,10,(3.1240998703626572+0j),0.0005208912482240952,0000000001,0.0009765625,5.857035974500571,2.7329361041379134,4.4,exponential invocations of qdrift channel,Ising,1,1024,1026,"{'0000001000': 4, '0000000000': 348, '0000001010': 2, '0000101010': 1, '1111111000': 2, '0000110110': 1, '0000000001': 483, '1111111011': 5, '1111110111': 2, '1111111101': 7, '0000000101': 6, '1111111110': 13, '1111111111': 46, '0000000010': 51, '0000000100': 5, '0000000011': 22, '1111110101': 2, '0000000111': 2, '1111110011': 2, '1111111100': 3, '0000000110': 4, '1111111010': 3, '1110101101': 1, '1110111111': 1, '0000001100': 1, '0000010001': 1, '0000011000': 1, '1111101110': 1, '0000010111': 1, '1111101100': 1, '0000011011': 1, '0000010000': 1}"
2,0.0025353644939701114,1024,12,(3.1240998703626572+0j),0.001260623632711159,000000000101,0.001220703125,3.025168159319748,0.09893171104290932,4.4,exponential invocations of qdrift channel,Ising,1,1024,4098,"{'000000000101': 874, '111111111111': 1, '000000000110': 64, '000000101011': 1, '000000000010': 7, '111011011111': 1, '000000000100': 31, '000000000011': 14, '000000001000': 6, '111111111100': 1, '000000000111': 9, '000000001001': 2, '000000000001': 2, '000000001011': 3, '000000011110': 1, '000000001101': 1, '000000000000': 2, '000000001100': 2, '111111111011': 1, '111111111010': 1}"
2,0.006428073117284319,1024,12,(3.1240998703626572+0j),0.003196140398635491,000000001101,0.003173828125,3.102290512049771,0.021809358312886218,4.4,exponential invocations of qdrift channel,Ising,1,1024,4098,"{'000000001101': 661, '000000001111': 150, '000000001110': 16, '000000000001': 6, '000000000111': 17, '000001100011': 1, '000000011111': 2, '111111110111': 1, '111111110011': 9, '000000010001': 11, '000001000011': 1, '000000000101': 3, '111111100111': 1, '000010001101': 1, '010101110011': 1, '000000000011': 17, '000000010011': 8, '000000100011': 1, '000000001100': 18, '001010100111': 1, '111111111111': 4, '000000010111': 7, '000000001001': 10, '111111100001': 1, '000000011001': 3, '000000000100': 2, '000000110011': 4, '000001110001': 1, '000000001011': 21, '000111101011': 1, '110110010111': 1, '000000100001': 1, '000000001010': 6, '000000001000': 2, '000010000011': 1, '111111111001': 3, '000001011101': 1, '111101110001': 1, '111100000000': 1, '000010110111': 1, '111111101111': 3, '000000000010': 1, '000000110101': 1, '111101110011': 3, '000001110011': 3, '111110101101': 1, '110001110100': 1, '111111111101': 1, '111111110001': 1, '000000100111': 2, '000000110111': 1, '111111001111': 1, '111111000011': 1, '111111000110': 1, '000000011101': 1, '000010000111': 1, '000000010000': 1, '000000010010': 1, '111011000111': 1}"
2,0.04132012400115339,1024,12,(3.1240998703626572+0j),0.02054502417553521,000001001101,0.018798828125,2.8585713020584675,0.2655285683041897,4.4,exponential invocations of qdrift channel,Ising,1,1024,4098,"{'000000100111': 7, '000001001010': 2, '111111111101': 1, '000000010101': 2, '000001011001': 41, '000001101101': 66, '000010010011': 21, '000001001101': 97, '000001110001': 5, '000010100111': 9, '110011011001': 1, '000000111001': 2, '000001010011': 67, '000000111011': 1, '000000100101': 15, '000000111111': 2, '000001111111': 2, '000001000011': 6, '000010011101': 14, '000001001011': 43, '000001110111': 6, '000011000011': 2, '000001100101': 29, '111101100111': 1, '000010000101': 2, '000010110111': 2, '000001011011': 41, '000001111011': 15, '000001000111': 19, '111001110011': 1, '000000111101': 7, '000001110101': 15, '000011011001': 3, '010000100101': 1, '000001000101': 23, '000010011011': 14, '111010110101': 1, '010100000011': 1, '000001100011': 33, '000001010101': 18, '000010010001': 1, '000001001111': 21, '000001110011': 27, '000010101101': 9, '111111101011': 1, '000010110011': 13, '111011100001': 1, '101111110111': 1, '000010101011': 5, '111111101101': 9, '000010110101': 5, '000001101001': 8, '000110110111': 1, '000010011001': 8, '000010100101': 16, '000001000110': 2, '000010101001': 4, '000101001011': 1, '000001001001': 7, '111110001011': 1, '000001010111': 12, '000001101111': 9, '000001011101': 10, '000001101011': 11, '000010100011': 4, '000011011101': 1, '110111011011': 1, '000001111010': 2, '011110101011': 1, '011011100111': 1, '000001100111': 13, '000011111101': 1, '000111000101': 1, '010101111001': 1, '000010010111': 3, '000001010001': 12, '000010010101': 6, '000011100111': 2, '000011010111': 1, '111101011001': 2, '111101100101': 1, '111101111011': 1, '000001000001': 1, '000001111101': 5, '000011100011': 2, '000100100011': 1, '100110011011': 1, '100011111011': 1, '100000000011': 1, '000110100011': 1, '111101111001': 1, '000001100001': 7, '011110010001': 1, '011110001111': 1, '111101110011': 1, '111101101101': 4, '000000011011': 3, '111111110011': 3, '000000011001': 3, '011101011001': 1, '000011111111': 1, '001001101111': 1, '111111111011': 1, '000000010011': 2, '111111011011': 1, '011110100101': 1, '000001110110': 1, '000100001101': 1, '000011101011': 2, '000000100110': 2, '000000101001': 3, '000000000101': 5, '000100000101': 2, '000010000111': 1, '000110110011': 1, '111010110011': 1, '000011000101': 3, '000000001011': 2, '000001111001': 7, '111010100111': 1, '000100010011': 2, '111101011101': 1, '101110110101': 1, '000010011111': 3, '100011101101': 1, '000011110011': 2, '111111110110': 1, '111011100111': 1, '000000011101': 4, '111111110101': 1, '000001011010': 1, '000000101011': 1, '001010100111': 1, '001010011101': 1, '000000000111': 2, '110110100111': 1, '000000010111': 1, '111111111111': 1, '000010001101': 1, '111110110011': 1, '000010111001': 1, '011001011011': 1, '110001101011': 1, '000001100110': 1, '111101110101': 1, '111010011101': 1, '000001101110': 2, '000011111011': 1, '111111110001': 1, '000010000011': 2, '000101110001': 1, '000011101001': 1, '000011000001': 1, '111110001101': 2, '011101011101': 1, '000110011101': 1, '001000100101': 1, '000101101101': 1, '011110100011': 1, '111010010101': 1, '111111111001': 1, '111100001101': 2, '000010001011': 1, '000000001101': 1, '000011010101': 1, '000011100101': 1, '000010011010': 1, '011110010011': 1, '111000100101': 1, '000111101101': 1, '100010011011': 1, '111111100001': 1, '100101001011': 1, '011101101011': 1, '000011101101': 2, '111111110111': 1, '011011101011': 1, '110111101101': 1, '000000001001': 1}"
2,0.016297508346206444,1024,12,(3.1240998703626572+0j),0.008103380884443907,000000100010,0.00830078125,3.2002037170456155,0.07610384668295822,4.4,exponential invocations of qdrift channel,Ising,1,1024,4098,"{'000000100010': 225, '000000110011': 2, '000000101101': 2, '000011100001': 3, '000000011010': 5, '000000100000': 220, '000000011111': 85, '111111110111': 2, '000000100001': 156, '000000111111': 2, '000001001110': 1, '000000001100': 2, '000000100011': 103, '000000011011': 10, '000001100111': 1, '000001001011': 2, '000000001101': 2, '000000100100': 30, '111101111100': 1, '000000010110': 5, '000000010010': 4, '010011100000': 1, '000011010001': 1, '000011101011': 1, '000000100111': 16, '000000011110': 25, '111111110100': 1, '000001100000': 2, '000010001000': 1, '000000011100': 12, '000000110111': 3, '000100000001': 1, '000011011111': 2, '000000000000': 4, '000000010111': 5, '111111111111': 2, '000001000000': 1, '000000110001': 1, '000000101111': 6, '000000001111': 4, '000000100110': 7, '000000101010': 3, '000000000001': 1, '000001010100': 1, '111111100000': 2, '000000000111': 2, '000000110000': 4, '000000101000': 5, '000000001001': 1, '000011011101': 2, '000000101011': 3, '000001011111': 2, '000000100101': 1, '000000001110': 2, '111011011111': 2, '111111101101': 1, '111111111000': 1, '000000110100': 1, '000011011110': 2, '111111101110': 1, '111011000001': 1, '000000010100': 1, '000000011001': 1, '000000101110': 3, '000001000011': 1, '000000010011': 2, '000000111000': 2, '000000010000': 1, '000100010111': 1, '000011100000': 2, '000001011110': 2, '000011011100': 1, '001011011101': 1, '111011011100': 1, '000011001111': 1, '110011011110': 1, '000001101011': 1, '110011100000': 1, '111111011100': 1, '111011100010': 1, '111111101000': 1, '000000011000': 1}"
2,0.001047615752789665,1024,12,(3.1240998703626572+0j),0.0005208912482240952,000000000010,0.00048828125,2.9285179872502853,0.1955818831123719,4.4,exponential invocations of qdrift channel,Ising,1,1024,4098,"{'000000000001': 10, '000000001011': 1, '000000000010': 958, '000000000011': 24, '000000000000': 8, '000000000110': 2, '000000000100': 9, '000000000111': 1, '111111111010': 1, '000000010100': 1, '111111111110': 2, '111111110110': 1, '111111111101': 1, '000010000100': 1, '000000001000': 1, '000000000101': 2, '111111111111': 1}"
